championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Recurve Men Individual,Semi Final,Juyel Sarkar,West Bengal,6,Tarun Rai,Sikkim,2,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Final,Juyel Sarkar,West Bengal,6,Indra Indra,Services Sports Control Board,4,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Winner,Juyel Sarkar,West Bengal,,,,,
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Rahul,Services Sports Control Board,2,Tarun Rai,Sikkim,6,Tarun Rai
38th National Games Uttarakhand,Recurve Men Individual,Round 2,Tarun Rai,Sikkim,,,,,
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Bommadevara Dhiraj,Services Sports Control Board,3,Jitender Rawat,Uttarakhand,7,Jitender Rawat
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Smaran Sarvesh L R,Tamil Nadu,6,Basant Kumar,Haryana,5,Smaran Sarvesh L R
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Paras Hooda,Haryana,2,Harshit Kumar,Uttarakhand,6,Harshit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Kartik Rana,Uttarakhand,4,Indra Indra,Services Sports Control Board,6,Indra Indra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Rahul,Services Sports Control Board,6,Ajay Nagarwal,Rajasthan,2,Rahul
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Dhruv Bagga,Delhi,7,Mahesh Kumawat,Rajasthan,1,Dhruv Bagga
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Takhellambam Meitei,Manipur,6,Sachin Vedwan,Mizoram,2,Takhellambam Meitei
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Kodandapani Jathya,Andhra Pradesh,0,Amit Kumar,Madhya Pradesh,6,Amit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,6,Gitesh Yadav,Chhattisgarh,2,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Rohit Kumar,Uttar Pradesh,6,Bishal Changmai,Assam,5,Rohit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Agastay Singh,Haryana,7,Divyansh Chaudhary,Haryana,3,Agastay Singh
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Jayanta Talukdar,Assam,6,Neeraj Chauhan,Uttar Pradesh,0,Jayanta Talukdar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Goldi Mishra,Jharkhand,6,Shrey Bhardwaj,Jharkhand,4,Goldi Mishra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Shukmani Babrekar,Maharashtra,4,Atul Verma,Uttarakhand,6,Atul Verma
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Sukhchain Singh,Services Sports Control Board,7,Aman Yadav,Uttar Pradesh,3,Sukhchain Singh
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Arjuna Khara,Odisha,2,Tarun Rai,Sikkim,6,Tarun Rai
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Jitender Rawat,Uttarakhand,0,Smaran Sarvesh L R,Tamil Nadu,6,Smaran Sarvesh L R
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Harshit Kumar,Uttarakhand,0,Indra Indra,Services Sports Control Board,6,Indra Indra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Rahul,Services Sports Control Board,7,Dhruv Bagga,Delhi,1,Rahul
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Takhellambam Meitei,Manipur,6,Amit Kumar,Madhya Pradesh,5,Takhellambam Meitei
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Juyel Sarkar,West Bengal,7,Rohit Kumar,Uttar Pradesh,3,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Agastay Singh,Haryana,0,Jayanta Talukdar,Assam,6,Jayanta Talukdar
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Goldi Mishra,Jharkhand,6,Atul Verma,Uttarakhand,4,Goldi Mishra
38th National Games Uttarakhand,Recurve Men Individual,Bronze,Sukhchain Singh,Services Sports Control Board,3,Tarun Rai,Sikkim,7,Tarun Rai
