winner,event_name,country,score_a,player_b,player_a,championship_name,score_b,round_name
"Matias Grande, Alejandra Valencia",Recurve Mixed Team,MEX,0,"Matias Grande, Alejandra Valencia",,World Archery Championship 2025,0,1/12 Eliminations
"Neeraj Chauhan, Deepika Kumari",Recurve Mixed Team,IND,0,,"Neeraj Chauhan, Deepika Kumari",World Archery Championship 2025,0,1/12 Eliminations
"Yuki Kawata, Nanami Asakuno",Recurve Mixed Team,JPN,2,"Yuki Kawata, Nanami Asakuno","Ilfat Abdullin, Alexandra Zemlyanova",World Archery Championship 2025,6,1/12 Eliminations
"Quoc Phong Le, Thi Dao Loc",Recurve Mixed Team,VIE,3,"Quoc Phong Le, Thi Dao Loc","Diananda Choirunisa, Riau Ega Agata Salsabilla",World Archery Championship 2025,5,1/12 Eliminations
"Jingyi Zhu, Wenchao Kao",Recurve Mixed Team,CHN,0,"Jingyi Zhu, Wenchao Kao",,World Archery Championship 2025,0,1/12 Eliminations
Sandra Jankowska,Compound Women,POL,0,,Sandra Jankowska,World Archery Championship 2023,0,1/48 Eliminations
Eiry Cristina Snak Nisi,Compound Women,BRA,125,Eiry Cristina Snak Nisi,Irmak Yuksel,World Archery Championship 2023,134,1/48 Eliminations
Satu Nisula,Compound Women,FIN,130,Jaqueline Ringström,Satu Nisula,World Archery Championship 2023,121,1/48 Eliminations
Mariya Klein,Compound Women,LUX,0,Mariya Klein,,World Archery Championship 2023,0,1/48 Eliminations
Yoohyun Oh,Compound Women,KOR,0,,Yoohyun Oh,World Archery Championship 2023,0,1/48 Eliminations
Tiphaine Renaudin,Compound Women,FRA,120,Tiphaine Renaudin,Madeleine Xue Li Ong,World Archery Championship 2023,129,1/48 Eliminations
Paola Corado,Compound Women,ESA,138,Ingrid Ronacher,Paola Corado,World Archery Championship 2023,131,1/48 Eliminations
Lu-Yun Wang,Compound Women,TPE,0,Lu-Yun Wang,,World Archery Championship 2023,0,1/48 Eliminations
Adel Zhexenbinova,Compound Women,KAZ,132,Yuk Sheung Wong,Adel Zhexenbinova,World Archery Championship 2023,119,1/48 Eliminations
Liko Arreola,Compound Women,USA,121,Liko Arreola,Giselle De Sousa,World Archery Championship 2023,128,1/48 Eliminations
Jyothi Surekha Vennam,Compound Women,IND,0,Jyothi Surekha Vennam,,World Archery Championship 2023,0,1/48 Eliminations
