event_name,state_name,player_name,score
Recurve Women Individual,ASSAM,JASHNA BRAHMA,625
Recurve Women Individual,BIHAR,PUNAM SINGH,624
Recurve Women Individual,MADHYA PRADESH,KRATIKA BICHPURIYA,621
Recurve Women Individual,WEST BENGAL,RIMIL HEMBRAM,620
Recurve Women Individual,MADHYA PRADESH,VITASA THAKUR,619
Recurve Women Individual,UTTAR PRADESH,MADHVI CHAUHAN,619
Recurve Women Individual,UTTAR PRADESH,CHESTA DEOL,618
Recurve Women Individual,MADHYA PRADESH,SONIYA THAKUR,618
Recurve Women Individual,MADHYA PRADESH,SONIYA THAKUR,617
Recurve Women Individual,HARYANA,BHAVNA,617
Recurve Women Individual,GUJARAT,YADAV PREETI,611
Recurve Women Individual,UTTARAKHAND,RAKHI PANCHAL,604
Recurve Women Individual,SERVICES SPORTS CONTROL BOARD,SANGEETA,604
Recurve Women Individual,GUJARAT,PREMILABEN BARIA,604
Recurve Women Individual,CHANDIGARH,AYUSHI,585
Recurve Women Individual,GOA,SHARANYA AMBRE,583
Recurve Women Individual,MANIPUR,LAIPHRAKPAM DEVI,568
Recurve Women Individual,UTTARAKHAND,ANANYA BISHT,545
Recurve Women Individual,UTTARAKHAND,DIVYANSHI BHANDARI,443
Compound Women individual,MAHARASHTRA,ADITI SWAMI,708
Compound Women individual,DELHI,KUMUD SAINI,700
Compound Women individual,MAHARASHTRA,MADHURA DHAMANGAONKAR,699
Compound Women individual,PUNJAB,PARNEET KAUR,699
Compound Women individual,MADHYA PRADESH,SRISHTI SINGH,697
Compound Women individual,TELANGANA,T CHIKITHA,696
Compound Women individual,PUNJAB,AVNEET KAUR,696
Compound Women individual,UTTAR PRADESH,SAKSHI CHAUDHARY,695
Compound Women individual,PUNJAB,JASVEER KAUR,695
Compound Women individual,TELANGANA,B MANASANAYANA,694
Compound Women individual,MAHARASHTRA,PRITHIKA,693
Compound Women individual,MANIPUR,KSHETRIMAYUM DEVI,693
Compound Women individual,TAMIL NADU,MADHURAVARSHINI MURUGANANTHAM,693
Compound Women individual,DELHI,PRAGATI,693
Compound Women individual,RAJASTHAN,KRATI SWAMI,693
Compound Women individual,MAHARASHTRA,PURVASHA SHENDE,692
Compound Women individual,GOA,SUBBIKSHA KRISHNAN,690
Compound Women individual,RAJASTHAN,SWATI DUDHWAL,688
Compound Women individual,RAJASTHAN,SHRUTI JADAUN,688
Compound Women individual,PUNJAB,RAJ KAUR,687
Compound Women individual,DELHI,SAMIKSHA MANAKTALA,686
Compound Women individual,RAJASTHAN,SUPYAR CHOUDHARY,686
Compound Women individual,HARYANA,DEEPSHIKHA,685
Compound Women individual,JHARKHAND,RAJ KUMARI,685
Compound Women individual,UTTAR PRADESH,RISHA RATHI,684
Compound Women individual,MADHYA PRADESH,RAGINEE MARKOO,684
Compound Women individual,HARYANA,ANGEL,684
Compound Women individual,DELHI,MOKSHADA POHARKAR,683
Compound Women individual,TELANGANA,M SRESHTA REDDY,683
Compound Women individual,HARYANA,MANVI SINGH,680
Compound Women individual,TAMIL NADU,K S SREE,680
Compound Women individual,ODISHA,PRITI ORAM,679
Compound Women individual,SERVICES SPORTS CONTROL BOARD,DIVYA DHAYAL,679
Compound Women individual,UTTAR PRADESH,AAKANSHA,679
Compound Women individual,UTTAR PRADESH,VARENYA,679
Compound Women individual,BIHAR,ARPANA KUMARI,675
Compound Women individual,GUJARAT,SUVERA AJITBHAI,674
Compound Women individual,ASSAM,MAINAW NARZARY,674
Compound Women individual,ASSAM,MAINAW NARZARY,673
Compound Women individual,TELANGANA,MANSURAH HASIBAH,670
Compound Women individual,HARYANA,KIRAN,669
Compound Women individual,CHHATTISGARH,PADMA SAHU,665
Compound Women individual,UTTARAKHAND,APRA BHARTI,661
Compound Women individual,UTTARAKHAND,VAISHNAVI PANTHARI,646
Compound Women individual,UTTARAKHAND,BHARTI RAI,642
Compound Women individual,UTTARAKHAND,ANURADHA BHARDWAJ,596
Indian Round Women Individual,HARYANA,NIKITA,656.0
Indian Round Women Individual,MANIPUR,LAIPHRAKPAM DEVI,650.0
Indian Round Women Individual,MANIPUR,MOIRANGTHEM DEVI,637.0
Indian Round Women Individual,JHARKHAND,MANISHA KUMARI,631.0
Indian Round Women Individual,ASSAM,NAMRATA BRAHMA,631.0
Indian Round Women Individual,UTTARAKHAND,PUSHPA,630.0
Indian Round Women Individual,JHARKHAND,PRIYA MAHALI,625.0
Indian Round Women Individual,CHHATTISGARH,CHANDNI SAHU,625.0
Indian Round Women Individual,MANIPUR,MILLENNIA THOKCHOM,624.0
Indian Round Women Individual,UTTAR PRADESH,CHHAVI RANA,622.0
Indian Round Women Individual,ASSAM,TUTUMONI BORO,622.0
Indian Round Women Individual,GUJARAT,RATHVA AMITABEN,622.0
Indian Round Women Individual,HARYANA,DIVYA,622.0
Indian Round Women Individual,HARYANA,DIVYA,619.0
Indian Round Women Individual,DELHI,BHARTI SAINI,619.0
Indian Round Women Individual,MAHARASHTRA,BHAVANA SATYAGIRI,617.0
Indian Round Women Individual,KERALA,AYSWARYA A V,615.0
Indian Round Women Individual,JHARKHAND,CHANDMUNI KUNKAL,610.0
Indian Round Women Individual,DELHI,SAPNA KUMARI,609.0
Indian Round Women Individual,CHHATTISGARH,SULOCHANA RAJ,608.0
Indian Round Women Individual,ASSAM,RITA BASUMATARY,607.0
Indian Round Women Individual,CHHATTISGARH,SUSHILA NETAM,607.0
Indian Round Women Individual,PUNJAB,BHAWNA RANI,606.0
Indian Round Women Individual,UTTARAKHAND,BINITA BORO,604.0
Indian Round Women Individual,KERALA,ARCHA VINOD,602.0
Indian Round Women Individual,JHARKHAND,SUMAN GOPE,602.0
Indian Round Women Individual,ASSAM,PALLABI BORO,601.0
Indian Round Women Individual,HARYANA,MONIKA,601.0
Indian Round Women Individual,MADHYA PRADESH,SHITAL BAIRAGI,601.0
Indian Round Women Individual,RAJASTHAN,PRATIKSHA,601.0
Indian Round Women Individual,MANIPUR,HEIKRUJAM DEVI,600.0
Indian Round Women Individual,CHHATTISGARH,HARSHITA SAHU,600.0
Indian Round Women Individual,UTTAR PRADESH,VEDAKSHI TOMAR,597.0
Indian Round Women Individual,NAGALAND,NACLEPZEULE,596.0
Indian Round Women Individual,KERALA,BIBITHA BALAN,596.0
Indian Round Women Individual,BIHAR,KM SAPNA,596.0
Indian Round Women Individual,JHARKHAND,CHANDMUNI KUNKAL,
Indian Round Women Individual,KERALA,ARCHA RAJAN,592.0
Indian Round Women Individual,UTTARAKHAND,ANISHA SEMWAL,590.0
Indian Round Women Individual,GUJARAT,LASIBEN RATHVA,588.0
Indian Round Women Individual,PUNJAB,MANJOT KAUR,587.0
